id,name,longitude,latitude,rating,address,adname,subtype
29aed4bf-d3d8-3dc3-b341-780f37572d22,裕品家塾,113.481301,23.092446,,黄埔东路与水闸围交叉口西北260米,黄埔区,29aed4bf-d3d8-3dc3-b341-780f37572d22
5406d6af-04d1-334b-abc6-f02d1bd4d2cb,启翔家塾,113.481047,23.092535,2.9,大沙镇双沙村西门坦,黄埔区,5406d6af-04d1-334b-abc6-f02d1bd4d2cb
6837b553-b751-3ff0-9f22-8c4718c2bdff,十方佛堂,113.483838,23.090607,,沙浦东路与黄埔东路交叉口西北80米,黄埔区,6837b553-b751-3ff0-9f22-8c4718c2bdff
71257c08-2068-3860-9de6-af5efd77f03f,昭阳湖,113.354156,23.162301,3.9,金慧街,天河区,71257c08-2068-3860-9de6-af5efd77f03f
2eedb983-d633-36f5-894b-630f1f5d1d0a,华南农业大学院士广场,113.353875,23.163558,3.6,五山路483号华南农业大学,天河区,2eedb983-d633-36f5-894b-630f1f5d1d0a
4cc60d0f-3733-3a78-9c3e-79620e629cf6,猴子的救兵,113.232858,23.075747,3.0,东漖南路南二巷20号(鹤洞地铁站C口步行260米),荔湾区,4cc60d0f-3733-3a78-9c3e-79620e629cf6
37be6a44-9192-3663-b253-76446ec6ccfb,坑口公园-坑口观音庙,113.231863,23.077351,4.5,坑口紫竹院28号,荔湾区,37be6a44-9192-3663-b253-76446ec6ccfb
f7fb9be8-d10f-339c-9000-a07d00fc1a58,慈航普渡,113.231724,23.07739,3.6,坑口新村一巷坑口村,荔湾区,f7fb9be8-d10f-339c-9000-a07d00fc1a58
0ae51863-3e7e-314e-a18d-61e7883a579b,坑口公园,113.231471,23.076967,4.4,坑口紫竹苑20号,荔湾区,0ae51863-3e7e-314e-a18d-61e7883a579b
ed258035-5afc-3a87-be4e-d86cd139c15f,鹤韵广场,113.236952,23.075715,3.9,鹤洞路87号(鹤洞地铁站B口步行240米),荔湾区,ed258035-5afc-3a87-be4e-d86cd139c15f
c68d8a88-e0ad-39f0-8b8b-7ba7341d0eab,金道广场,113.228079,23.075219,3.8,金达街36-40号附近,荔湾区,c68d8a88-e0ad-39f0-8b8b-7ba7341d0eab
419ac11d-5700-3b26-9c86-880b41ce4131,鸵鸟,113.228263,23.074517,1.0,芳村·花地大道金达街36-40号裙楼一层119-120铺,荔湾区,419ac11d-5700-3b26-9c86-880b41ce4131
ad23d19f-2153-31d9-9369-119b6df3b152,智雄尾道,113.240311,23.18016,3.0,二横路与南天大街交叉口东80米,白云区,ad23d19f-2153-31d9-9369-119b6df3b152
95a9bc35-7ef2-3c76-96fe-3e4510211eee,富银社区公园,113.200999,23.395468,3.9,富银路5号,花都区,95a9bc35-7ef2-3c76-96fe-3e4510211eee
9c90bb7a-784d-3693-8e77-02efaa428214,茶园公园,113.21001,23.392567,3.8,茶园路与宝华路交汇处西北角,花都区,9c90bb7a-784d-3693-8e77-02efaa428214
2a57a9f9-f1ab-3d9c-8347-0e20c6434ca0,银坑街公园,113.404389,22.804551,3.5,环城西路20号,南沙区,2a57a9f9-f1ab-3d9c-8347-0e20c6434ca0
8dbf4bdc-97b2-3999-a8d2-dae48a6898ec,古井,113.402216,22.802964,3.8,客家村太平坊51-2号,南沙区,8dbf4bdc-97b2-3999-a8d2-dae48a6898ec
96950489-91dd-3df5-b93b-37ae6a7bc9b0,客家村牌坊,113.40242,22.804851,3.1,振兴路7号,南沙区,96950489-91dd-3df5-b93b-37ae6a7bc9b0
a9ecb3e4-5b39-39ce-b6db-dac3530bbe4e,罗氏祖屋,113.403735,22.806034,2.7,兴业路与群力路交叉口南100米,南沙区,a9ecb3e4-5b39-39ce-b6db-dac3530bbe4e
1f4b4920-25db-30db-bd07-dca4ff789583,天后宫,113.404027,22.806168,4.1,东涌二街与东一队一街交汇处,南沙区,1f4b4920-25db-30db-bd07-dca4ff789583
7ed6b9e5-684b-3b5a-9b94-051102305c95,王后宫,113.403977,22.806184,3.4,天后宫,南沙区,7ed6b9e5-684b-3b5a-9b94-051102305c95
aa2db54e-b6b5-3f01-a7da-db2e3e4a2df0,观音堂,113.404091,22.806197,,天后宫(东北角),南沙区,aa2db54e-b6b5-3f01-a7da-db2e3e4a2df0
45f2dcc4-3743-3cb1-81e7-1abf50cc0033,罉塘潭古采石场遗址,113.405213,22.805991,3.5,庙前街大岗人民公园,南沙区,45f2dcc4-3743-3cb1-81e7-1abf50cc0033
